EmployeeID,First_Name,Surname,StreetAddress,City,StateFull,ZipCode,Country,CountryFull,Age,Office,Start_Date,Termination_Date,Office_Type,Department,Currency,Bonus_pct,Job_title,DOB,level,Active Status,Job_Profile,Compensation,start_year,termination_year,tenure_months,tenure_years,State_code,Salary(USD)
100012,Roger,Jordan,3823 Heather Sees Way,Tulsa,Oklahoma,74106,US,United States,32.0,NYC,2009-09-21,2013-10-17 00:00:00.000000,Corporate,Customer Service,USD,0.15,Account Manager,1991-09-12,Individual Contributor,0,JP_1020,70000.0,2009,2013,49.56666666666667,4.073972602739726,OK,52000.0
100013,Edward,Burkhart,1185 Pointe Lane,Fort Lauderdale,Florida,33308,US,United States,40.0,NYC,2009-09-28,2012-10-31 00:00:00.000000,Corporate,Corporate,USD,0.15,AR Specialist,1983-11-17,Individual Contributor,0,JP_1003,65000.0,2009,2012,37.63333333333333,3.0931506849315067,FL,60000.0
100014,Jacqueline,Hernandez,1676 Hidden Meadow Drive,Crystal,North Dakota,58222,US,United States,26.0,NYC,2009-09-28,,Corporate,Corporate,USD,0.15,AP Specialist,1997-10-29,Individual Contributor,1,JP_1004,65000.0,2009,0,167.22288481628243,13.744346697228693,ND,67000.0
100015,James,Adams,2762 Kennedy Court,Bedford,Massachusetts,01730,US,United States,47.0,NYC,2009-10-05,2011-03-11 00:00:00.000000,Corporate,Sales,USD,0.2,Sales Manager,1976-11-26,Manager,0,JP_1037,120000.0,2009,2011,17.4,1.4301369863013698,MA,71000.0
100016,Michael,Conner,4149 Ventura Drive,Santa Cruz,California,95060,US,United States,39.0,NYC,2009-10-05,2019-11-06 00:00:00.000000,Corporate,Sales,USD,0.3,"SVP, Sales",1984-03-10,SVP,0,JP_1038,350000.0,2009,2019,122.8,10.093150684931507,CA,253000.0
100017,Denise,Matthew,4201 Deer Haven Drive,Greenville,South Carolina,29601,US,United States,56.0,NYC,2009-10-12,2012-05-30 00:00:00.000000,Corporate,Corporate,USD,0.15,FP&A Analyst,1967-09-18,Individual Contributor,0,JP_1005,70000.0,2009,2012,32.03333333333333,2.632876712328767,SC,63000.0
100018,Virginia,Ferguson,3024 Traders Alley,Maysville,Missouri,64469,US,United States,30.0,NYC,2009-10-12,,Corporate,Customer Service,USD,0.3,"SVP, Customer Service",1993-06-20,SVP,1,JP_1021,280000.0,2009,0,166.75621814961576,13.70599053284513,MO,198000.0
100019,Louis,Powell,328 Monroe Street,Houston,Texas,77026,US,United States,49.0,NYC,2009-10-19,2013-02-18 00:00:00.000000,Corporate,Corporate,USD,0.15,Coordinator,1974-11-02,Individual Contributor,0,JP_1006,50000.0,2009,2013,40.6,3.336986301369863,TX,68000.0
100020,Douglas,Mason,1510 Wood Street,Franklinton,Louisiana,70438,US,United States,48.0,NYC,2009-10-19,,Corporate,Sales,USD,0.15,Account Executive,1975-04-23,Individual Contributor,1,JP_1034,85000.0,2009,0,166.5228848162824,13.686812450653349,LA,79000.0
100021,Carmen,Stewart,3367 Ryder Avenue,Everett,Washington,98201,US,United States,50.0,NYC,2009-10-26,,Corporate,Customer Service,USD,0.15,Account Manager,1973-11-03,Individual Contributor,1,JP_1020,70000.0,2009,0,166.2895514829491,13.667634368461568,WA,51000.0
100022,Thelma,Buckley,2054 Bicetown Road,New York,New York,10013,US,United States,27.0,NYC,2009-10-26,2013-09-17 00:00:00.000000,Corporate,Customer Service,USD,0.15,Account Manager,1996-09-08,Individual Contributor,0,JP_1020,70000.0,2009,2013,47.4,3.8958904109589043,NY,57000.0
100023,Jeffrey,Hagans,3307 Hershell Hollow Road,Tukwila,Washington,98168,US,United States,55.0,NYC,2009-10-26,2014-06-06 00:00:00.000000,Corporate,Customer Service,USD,0.15,Senior Account Manager,1968-12-31,Senior,0,JP_1022,100000.0,2009,2014,56.13333333333333,4.6136986301369864,WA,53000.0
100024,Jessica,Hall,2010 Collins Avenue,Westerville,Ohio,43081,US,United States,51.0,NYC,2009-10-26,,Corporate,Customer Service,USD,0.15,Account Manager,1972-05-17,Individual Contributor,1,JP_1020,70000.0,2009,0,166.2895514829491,13.667634368461568,OH,54000.0
100025,Cindy,McDonnell,818 Broadcast Drive,Washington,Virginia,20200,US,United States,46.0,NYC,2009-11-02,2012-07-10 00:00:00.000000,Corporate,Customer Service,USD,0.15,Account Manager,1977-10-15,Individual Contributor,0,JP_1020,70000.0,2009,2012,32.7,2.6876712328767125,VA,50000.0
100026,Heike,Aguilar,622 Ingram Street,Dayton,Ohio,45402,US,United States,31.0,NYC,2009-11-02,2010-03-09 00:00:00.000000,Corporate,Sales,USD,0.15,Account Executive,1992-03-18,Individual Contributor,0,JP_1034,85000.0,2009,2010,4.233333333333333,0.34794520547945207,OH,79000.0
100027,Jennifer,Vanderpool,4560 Southern Avenue,Urbandale,Iowa,50322,US,United States,34.0,NYC,2009-11-16,2011-05-03 00:00:00.000000,Corporate,Customer Service,USD,0.15,Senior Account Manager,1989-03-01,Senior,0,JP_1022,100000.0,2009,2011,17.766666666666666,1.4602739726027398,IA,54000.0
100028,Deidre,Goss,3685 Nickel Road,Pasadena,California,91101,US,United States,56.0,NYC,2009-11-23,2014-05-13 00:00:00.000000,Corporate,Customer Service,USD,0.2,"Manager, Customer Service",1967-07-17,Manager,0,JP_1023,85000.0,2009,2014,54.4,4.471232876712329,CA,52000.0
100029,Calvin,Wright,4658 Water Street,San Francisco,California,94107,US,United States,36.0,NYC,2009-11-30,2014-06-27 00:00:00.000000,Corporate,Customer Service,USD,0.15,Senior Account Manager,1987-11-10,Senior,0,JP_1022,100000.0,2009,2014,55.666666666666664,4.575342465753424,CA,58000.0
100030,Eric,Edmundson,1649 Essex Court,Burlington,Vermont,05401,US,United States,30.0,NYC,2009-11-30,2014-06-27 00:00:00.000000,Corporate,Sales,USD,0.15,Sales Team Lead,1993-04-25,Senior,0,JP_1039,95000.0,2009,2014,55.666666666666664,4.575342465753424,VT,74000.0
100031,Henry,Williams,1260 Lang Avenue,Richfield,Utah,84701,US,United States,49.0,NYC,2009-12-21,,Corporate,Sales,USD,0.2,Regional Sales Manager,1974-12-09,Manager,1,JP_1036,140000.0,2009,0,164.42288481628242,13.514209710927322,UT,77000.0
100032,Juliana,Green,350 Andell Road,Columbus,Ohio,43215,US,United States,42.0,NYC,2009-12-21,2013-05-31 00:00:00.000000,Corporate,Customer Service,USD,0.15,Account Manager,1981-02-07,Individual Contributor,0,JP_1020,70000.0,2009,2013,41.9,3.4438356164383563,OH,51000.0
100033,Fannie,Smith,1829 Burnside Court,Phoenix,Arizona,85003,US,United States,47.0,NYC,2009-12-21,2022-02-27 00:00:00.000000,Corporate,Corporate,USD,0.15,HR Coordinator,1976-01-16,Individual Contributor,0,JP_1007,50000.0,2009,2022,148.36666666666667,12.194520547945206,AZ,67000.0
100034,Jeffery,Britton,1473 University Street,Seattle,Washington,98121,US,United States,41.0,NYC,2009-12-28,2014-03-17 00:00:00.000000,Corporate,Sales,USD,0.15,Account Executive,1982-02-12,Individual Contributor,0,JP_1034,85000.0,2009,2014,51.333333333333336,4.219178082191781,WA,79000.0
100035,Sharon,Taylor,4017 Mount Street,Blanchard,Michigan,49310,US,United States,42.0,NYC,2009-12-28,2012-12-25 00:00:00.000000,Corporate,Corporate,USD,0.15,Coordinator,1981-11-18,Individual Contributor,0,JP_1006,50000.0,2009,2012,36.43333333333333,2.9945205479452053,MI,65000.0
100036,Joellen,Deleon,4719 Edgewood Avenue,Fresno,California,93704,US,United States,37.0,NYC,2010-01-04,2021-10-28 00:00:00.000000,Corporate,Customer Service,USD,0.15,Senior Account Manager,1986-06-19,Senior,0,JP_1022,100000.0,2010,2021,143.83333333333334,11.821917808219178,CA,59000.0
100037,Sara,Richards,1227 Columbia Mine Road,Cheat Lake,West Virginia,26505,US,United States,56.0,NYC,2010-01-04,2010-03-02 00:00:00.000000,Corporate,Customer Service,USD,0.15,Account Manager,1967-06-24,Individual Contributor,0,JP_1020,70000.0,2010,2010,1.9,0.15616438356164383,WV,60000.0
100038,Margaret,Sargent,1570 Beechwood Avenue,Red Bank,New Jersey,07701,US,United States,41.0,NYC,2010-01-04,,Corporate,Customer Service,USD,0.2,"Manager, Customer Service",1982-11-12,Associate,1,JP_1024,,2010,0,163.95621814961575,13.47585354654376,NJ,52000.0
100039,Cassandra,James,733 Kimberly Way,Rockford,Michigan,49341,US,United States,56.0,NYC,2010-01-04,,Corporate,Corporate,USD,0.15,Counsel,1967-08-08,Individual Contributor,1,JP_1008,220000.0,2010,0,163.95621814961575,13.47585354654376,MI,69000.0
100040,Marie,Montgomery,211 Arrowood Drive,St Augustine,Florida,32092,US,United States,55.0,NYC,2010-01-11,,Corporate,Marketing,USD,0.15,Programmatic Marketing Specialist,1968-07-05,Individual Contributor,1,JP_1028,70000.0,2010,0,163.72288481628243,13.45667546435198,FL,84000.0
100041,Terri,Boone,1553 Wildwood Street,Salem,Ohio,44460,US,United States,53.0,NYC,2010-01-11,,Corporate,Customer Service,USD,0.2,"Manager, Customer Service",1970-11-04,Associate,1,JP_1024,,2010,0,163.72288481628243,13.45667546435198,OH,50000.0
100042,Michael,Green,4617 Worley Avenue,Piney River,Virginia,22964,US,United States,47.0,NYC,2010-01-11,2010-09-15 00:00:00.000000,Corporate,Customer Service,USD,0.15,Senior Account Manager,1976-11-14,Senior,0,JP_1022,100000.0,2010,2010,8.233333333333333,0.6767123287671233,VA,52000.0
100043,Ray,Alvey,1586 Shadowmar Drive,New Orleans,Louisiana,70122,US,United States,33.0,NYC,2010-01-25,2011-08-08 00:00:00.000000,Corporate,Marketing,USD,0.15,Copy Writer,1990-09-27,Individual Contributor,0,JP_1029,85000.0,2010,2011,18.666666666666668,1.5342465753424657,LA,75000.0
100044,Gerald,Hansen,408 Traders Alley,Kansas City,Missouri,64106,US,United States,33.0,NYC,2010-01-25,2012-01-10 00:00:00.000000,Corporate,Technology,USD,0.15,IT,1990-01-27,Individual Contributor,0,JP_1042,80000.0,2010,2012,23.833333333333332,1.9589041095890412,MO,51000.0
100045,Lloyd,Bedwell,1052 Dovetail Drive,Burr Ridge,Illinois,60527,US,United States,42.0,NYC,2010-01-25,2018-11-16 00:00:00.000000,Corporate,Customer Service,USD,0.2,"Manager, Customer Service",1981-10-01,Associate,0,JP_1024,,2010,2018,107.23333333333333,8.813698630136987,IL,59000.0
100046,Gloria,Walser,960 Burnside Avenue,Mexican Hat,Utah,84531,US,United States,40.0,NYC,2010-01-25,2020-01-18 00:00:00.000000,Corporate,Customer Service,USD,0.15,CS Operations Specialist,1983-05-27,Individual Contributor,0,JP_1025,80000.0,2010,2020,121.5,9.986301369863014,UT,56000.0
100047,Mayra,Gutierrez,1066 Beech Street,Antioch,California,94509,US,United States,39.0,NYC,2010-01-25,2010-07-29 00:00:00.000000,Corporate,Customer Service,USD,0.2,"Manager, Customer Service",1984-09-17,Associate,0,JP_1024,,2010,2010,6.166666666666667,0.5068493150684932,CA,54000.0
100048,Nicholas,Sauer,3966 Nancy Street,Raleigh,North Carolina,27609,US,United States,26.0,NYC,2010-01-25,,Corporate,Sales,USD,0.15,Account Executive,1997-01-13,Individual Contributor,1,JP_1034,85000.0,2010,0,163.25621814961576,13.418319299968418,NC,71000.0
100049,Maria,Johnson,2728 Trails End Road,Fort Lauderdale,Florida,33306,US,United States,49.0,Boulder,2010-01-25,2010-10-21 00:00:00.000000,Technology,Technology,USD,0.15,Software Engineer,1974-11-11,Individual Contributor,0,JP_1043,110000.0,2010,2010,8.966666666666667,0.736986301369863,FL,93000.0
100050,Antonio,Warford,841 Maple Avenue,Boise,Idaho,83702,US,United States,47.0,Boulder,2010-02-01,2014-05-14 00:00:00.000000,Technology,Technology,USD,0.15,Software Engineer,1976-05-04,Individual Contributor,0,JP_1043,110000.0,2010,2014,52.1,4.282191780821917,ID,93000.0
100051,Bradley,Carter,2781 Wilson Street,Crowley Lake,California,93514,US,United States,29.0,NYC,2010-02-08,2021-06-16 00:00:00.000000,Corporate,Marketing,USD,0.15,Programmatic Marketing Specialist,1994-03-29,Individual Contributor,0,JP_1028,70000.0,2010,2021,138.2,11.35890410958904,CA,83000.0
100052,Robin,Lee,3921 White Lane,Macon,Georgia,31204,US,United States,37.0,NYC,2010-02-08,2013-08-22 00:00:00.000000,Corporate,Customer Service,USD,0.15,Senior Account Manager,1986-05-18,Senior,0,JP_1022,100000.0,2010,2013,43.03333333333333,3.536986301369863,GA,57000.0
100053,James,Baker,3635 Sunny Day Drive,Fullerton,California,92632,US,United States,55.0,NYC,2010-02-15,,Corporate,Corporate,USD,0.15,Finance Coordinator,1968-01-19,Individual Contributor,1,JP_1009,55000.0,2010,0,162.55621814961575,13.360785053393075,CA,64000.0
100054,Jeremy,Somerville,1574 Garfield Road,Macomb,Illinois,61455,US,United States,40.0,Boulder,2010-02-15,2014-04-24 00:00:00.000000,Technology,Technology,USD,0.2,"Director, Engineering",1983-09-16,Director,0,JP_1045,200000.0,2010,2014,50.96666666666667,4.189041095890411,IL,100000.0
100055,Sander,Klokk,Snekkerfaret 216,MOSS,,01537,NO,Norway,41.0,Oslo,2010-02-22,2019-08-19 00:00:00.000000,Technology,Technology,NOK,0.15,Software Engineer,1982-02-14,Individual Contributor,0,JP_1043,110000.0,2010,2019,115.5,9.493150684931507,,50500.300932891965
100056,Rochelle,Ahlstrom,2864 Brown Street,Walnut Creek,California,94596,US,United States,36.0,Boulder,2010-03-08,2011-07-15 00:00:00.000000,Technology,Technology,USD,0.15,Software Engineer,1987-03-23,Individual Contributor,0,JP_1043,110000.0,2010,2011,16.466666666666665,1.3534246575342466,CA,100000.0
100057,William,Buckley,3517 Radio Park Drive,Atlanta,Georgia,30303,US,United States,30.0,NYC,2010-03-15,2012-04-12 00:00:00.000000,Corporate,Sales,USD,0.15,Account Executive,1993-04-29,Individual Contributor,0,JP_1034,85000.0,2010,2012,25.3,2.0794520547945203,GA,72000.0
100058,Lynn,Brown,4922 Robinson Court,Saginaw,Michigan,48601,US,United States,44.0,NYC,2010-03-15,2019-12-26 00:00:00.000000,Corporate,Sales,USD,0.2,Regional Sales Manager,1979-08-17,Manager,0,JP_1036,140000.0,2010,2019,119.1,9.789041095890411,MI,70000.0
100059,Jean,Moran,3698 Lochmere Lane,Old Saybrook,Connecticut,06475,US,United States,46.0,NYC,2010-03-15,2014-07-17 00:00:00.000000,Corporate,Corporate,USD,0.15,HR Coordinator,1977-02-27,Individual Contributor,0,JP_1007,50000.0,2010,2014,52.833333333333336,4.342465753424658,CT,65000.0
100060,Jose,Garcia,2690 Waldeck Street,Weatherford,Texas,76086,US,United States,45.0,Boulder,2010-03-15,2013-10-07 00:00:00.000000,Technology,Technology,USD,0.15,Senior Software Engineer,1978-07-08,Senior,0,JP_1046,140000.0,2010,2013,43.4,3.5671232876712327,TX,96000.0
100061,Carol,Romero,4169 Rhapsody Street,Ocala,Florida,34471,US,United States,47.0,Boulder,2010-03-15,2014-05-09 00:00:00.000000,Technology,Technology,USD,0.15,Software Engineer,1976-05-21,Individual Contributor,0,JP_1043,110000.0,2010,2014,50.53333333333333,4.153424657534247,FL,94000.0
100062,Logan,Ryan,932 Maxwell Farm Road,Chico,California,95928,US,United States,31.0,Boulder,2010-03-15,2013-12-20 00:00:00.000000,Technology,Technology,USD,0.15,Software Engineer,1992-02-08,Individual Contributor,0,JP_1043,110000.0,2010,2013,45.86666666666667,3.76986301369863,CA,91000.0
100063,Marius,Andersen,Bnntjernveien 186,HNEFOSS,,03514,NO,Norway,30.0,Oslo,2010-03-15,2022-08-16 00:00:00.000000,Technology,Technology,NOK,0.15,Senior Software Engineer,1993-03-01,Senior,0,JP_1046,140000.0,2010,2022,151.23333333333332,12.43013698630137,,50218.17634667469
100064,Randy,Parker,1570 Cimmaron Road,Buena Park,California,90621,US,United States,48.0,NYC,2010-03-22,2011-10-28 00:00:00.000000,Corporate,Customer Service,USD,0.2,"Manager, Customer Service",1975-02-12,Manager,0,JP_1023,85000.0,2010,2011,19.5,1.6027397260273972,CA,50000.0
100065,Robert,Vaughan,967 Wines Lane,Houston,Texas,77002,US,United States,55.0,Boulder,2010-03-22,2014-03-19 00:00:00.000000,Technology,Technology,USD,0.15,Software Engineer,1968-09-19,Individual Contributor,0,JP_1043,110000.0,2010,2014,48.6,3.9945205479452053,TX,94000.0
100066,Luis,Elwell,4395 Granville Lane,Newark,New Jersey,07102,US,United States,40.0,NYC,2010-04-05,2013-10-25 00:00:00.000000,Corporate,Customer Service,USD,0.15,Account Manager,1983-04-30,Individual Contributor,0,JP_1020,70000.0,2010,2013,43.3,3.558904109589041,NJ,51000.0
100067,Timothy,Fisher,3277 Carolyns Circle,Plano,Texas,75074,US,United States,42.0,NYC,2010-04-05,2012-05-16 00:00:00.000000,Corporate,Customer Service,USD,0.15,Account Manager,1981-09-29,Individual Contributor,0,JP_1020,70000.0,2010,2012,25.733333333333334,2.115068493150685,TX,60000.0
100068,Charles,Abbott,1443 Martha Street,Prescott,Arizona,86314,US,United States,36.0,NYC,2010-04-05,2011-03-25 00:00:00.000000,Corporate,Sales,USD,0.1,"Associate, Sales",1987-04-20,Associate,0,JP_1040,75000.0,2010,2011,11.8,0.9698630136986301,AZ,77000.0
100069,Michael,Lima,2484 Lincoln Street,Camden,New Jersey,08102,US,United States,31.0,NYC,2010-04-05,2011-06-15 00:00:00.000000,Corporate,Corporate,USD,0.15,Accountant,1992-10-21,Individual Contributor,0,JP_1010,85000.0,2010,2011,14.533333333333333,1.1945205479452055,NJ,64000.0
100070,Jessie,Vaughn,4415 Aspen Court,West Roxbury,Massachusetts,02132,US,United States,35.0,NYC,2010-04-12,2010-12-27 00:00:00.000000,Corporate,Sales,USD,0.2,Regional Sales Manager,1988-12-16,Manager,0,JP_1036,140000.0,2010,2010,8.633333333333333,0.7095890410958904,MA,72000.0
100071,Angela,Mullis,3588 Concord Street,Charlotte,North Carolina,28209,US,United States,53.0,NYC,2010-04-12,2010-09-14 00:00:00.000000,Corporate,Corporate,USD,0.15,"Specialist, Training and Development",1970-07-31,Individual Contributor,0,JP_1011,70000.0,2010,2010,5.166666666666667,0.4246575342465753,NC,66000.0
100072,Thomas,Klein,488 Memory Lane,Rockford,Illinois,61101,US,United States,34.0,NYC,2010-04-12,2012-10-25 00:00:00.000000,Corporate,Sales,USD,0.15,Account Executive,1989-03-29,Individual Contributor,0,JP_1034,85000.0,2010,2012,30.9,2.5397260273972604,IL,75000.0
100073,Jim,Cowles,4400 Daffodil Lane,Washington,Virginia,20011,US,United States,54.0,Boulder,2010-04-19,2012-02-03 00:00:00.000000,Technology,Technology,USD,0.15,Senior Software Engineer,1969-03-11,Senior,0,JP_1046,140000.0,2010,2012,21.833333333333332,1.7945205479452055,VA,98000.0
100074,William,Flood,2251 Michigan Avenue,Gibsonia,Pennsylvania,15044,US,United States,37.0,NYC,2010-04-26,,Corporate,Sales,USD,0.15,Account Executive,1986-08-13,Individual Contributor,1,JP_1034,85000.0,2010,0,160.22288481628243,13.169004231475267,PA,75000.0
100075,Michael,Mattie,2393 Davis Court,Collinsville,Illinois,62234,US,United States,34.0,NYC,2010-04-26,2019-08-21 00:00:00.000000,Corporate,Customer Service,USD,0.15,Senior Account Manager,1989-06-24,Senior,0,JP_1022,100000.0,2010,2019,113.46666666666667,9.326027397260274,IL,52000.0
100076,Deanna,James,3434 Elmwood Avenue,Tempe,Arizona,85283,US,United States,33.0,Boulder,2010-04-26,2014-05-12 00:00:00.000000,Technology,Technology,USD,0.15,Software Engineer,1990-08-06,Individual Contributor,0,JP_1043,110000.0,2010,2014,49.233333333333334,4.046575342465753,AZ,95000.0
100077,Nadia,Anderson,2200 Roosevelt Road,Sharon,Kansas,67138,US,United States,28.0,NYC,2010-05-03,2012-05-18 00:00:00.000000,Corporate,Sales,USD,0.1,"Associate, Sales",1995-01-28,Associate,0,JP_1040,75000.0,2010,2012,24.866666666666667,2.043835616438356,KS,79000.0
100078,Joseph,Isley,4323 Bartlett Avenue,Southfield,Michigan,48075,US,United States,39.0,Boulder,2010-05-03,2013-11-28 00:00:00.000000,Technology,Technology,USD,0.15,Senior Software Engineer,1984-12-02,Senior,0,JP_1046,140000.0,2010,2013,43.5,3.5753424657534247,MI,100000.0
100079,Patricia,Nightingale,1358 Thorn Street,Cheyenne,Wyoming,82001,US,United States,43.0,Boulder,2010-05-10,,Technology,Technology,USD,0.15,Software Engineer,1980-11-13,Individual Contributor,1,JP_1043,110000.0,2010,0,159.75621814961576,13.130648067091705,WY,91000.0
100080,James,Minton,3901 Airplane Avenue,Baltic,Connecticut,06330,US,United States,30.0,NYC,2010-05-17,,Corporate,Customer Service,USD,0.15,Account Manager,1993-04-25,Individual Contributor,1,JP_1020,70000.0,2010,0,159.5228848162824,13.111469984899925,CT,58000.0
100081,Anthony,Mahan,845 Stratford Park,Terre Haute,Indiana,47805,US,United States,35.0,NYC,2010-05-17,2011-12-23 00:00:00.000000,Corporate,Sales,USD,0.1,"Associate, Sales",1988-03-14,Associate,0,JP_1040,75000.0,2010,2011,19.5,1.6027397260273972,IN,77000.0
100082,Danielle,Bowler,1399 Goosetown Drive,Saluda,North Carolina,28773,US,United States,42.0,NYC,2010-05-24,2023-01-04 00:00:00.000000,Corporate,Customer Service,USD,0.15,Account Manager,1981-04-07,Individual Contributor,0,JP_1020,70000.0,2010,2023,153.6,12.624657534246575,NC,59000.0
100083,Marvel,Wolverton,1921 Rainbow Road,City Of Commerce,California,90040,US,United States,52.0,NYC,2010-05-24,2010-09-02 00:00:00.000000,Corporate,Sales,USD,0.15,Account Executive,1971-04-28,Individual Contributor,0,JP_1034,85000.0,2010,2010,3.3666666666666667,0.27671232876712326,CA,73000.0
100084,John,Bertrand,290 Brooke Street,Houston,Texas,77035,US,United States,37.0,Boulder,2010-05-24,2011-01-14 00:00:00.000000,Technology,Technology,USD,0.15,Software Engineer,1986-03-27,Individual Contributor,0,JP_1043,110000.0,2010,2011,7.833333333333333,0.6438356164383562,TX,98000.0
100085,Robert,Harper,709 Twin House Lane,Eldridge,Missouri,65463,US,United States,28.0,Boulder,2010-05-24,2015-03-03 00:00:00.000000,Technology,Technology,USD,0.15,Senior Software Engineer,1995-08-28,Senior,0,JP_1046,140000.0,2010,2015,58.13333333333333,4.778082191780822,MO,91000.0
100086,James,Gregory,3932 Laurel Lee,Blaine,Minnesota,55414,US,United States,45.0,Boulder,2010-05-24,2019-12-10 00:00:00.000000,Technology,Technology,USD,0.2,"Director, Engineering",1978-07-08,Director,0,JP_1045,200000.0,2010,2019,116.23333333333333,9.553424657534247,MN,93000.0
100087,Melissa,Rodriguez,4442 Bird Street,Albuquerque,New Mexico,87106,US,United States,55.0,SanJose,2010-05-24,2011-10-12 00:00:00.000000,Corporate,Sales,USD,0.1,"Associate, Sales",1968-05-25,Associate,0,JP_1040,75000.0,2010,2011,16.866666666666667,1.3863013698630138,NM,72000.0
100088,Peggy,Frazier,67 Seneca Drive,Beaver Creek,Oregon,97004,US,United States,34.0,Boulder,2010-05-31,2021-11-16 00:00:00.000000,Technology,Technology,USD,0.2,"Director, Engineering",1989-08-08,Director,0,JP_1045,200000.0,2010,2021,139.56666666666666,11.471232876712328,OR,100000.0
100089,Caron,Adams,1523 Sherwood Circle,Lafayette,Louisiana,70501,US,United States,30.0,Boulder,2010-05-31,,Technology,Technology,USD,0.15,Software Engineer,1993-11-11,Individual Contributor,1,JP_1043,110000.0,2010,0,159.05621814961575,13.073113820516364,LA,94000.0
100090,Patricia,Mendoza,3664 Hannah Street,Ellenboro,North Carolina,28040,US,United States,57.0,Boulder,2010-05-31,,Technology,Marketing,USD,0.15,Programmatic Marketing Specialist,1966-01-20,Individual Contributor,1,JP_1028,70000.0,2010,0,159.05621814961575,13.073113820516364,NC,76000.0
100091,Maria,Singleton,2926 Kessla Way,Clinton,South Carolina,28328,US,United States,40.0,Boulder,2010-05-31,2012-02-10 00:00:00.000000,Technology,Technology,USD,0.15,Senior Software Engineer,1983-01-21,Senior,0,JP_1046,140000.0,2010,2012,20.666666666666668,1.6986301369863013,SC,91000.0
